LUO_ZUP,C,100;IME_LOV,C,100;ID_LOV,N,4,0;SO_V_VZORC,N,4,2;ST_VZORCEV,N,5,2;POSILJAJO,N,4,2;VL,C,1
SLOVENSKO GORIŠKO;PALOMA - SLADKI VRH;275;0;0;0;
SLOVENSKO - GORIŠKO;KAMNICA;276;0;0;0;
SLOVENSKO GORIŠKO;KOŠAKI - MALEČNIK;277;0;0;0;
SLOVENSKO - GORIŠKO;PESNICA - JARENINA;278;0;0;0;
SLOVENSKO GORIŠKO;JAKOB;279;0;0;0;
SLOVENSKO GORIŠKO;SVETA ANA;280;0;0;0;
SLOVENSKO GORIŠKO;VELKA;281;0;0;0;
SLOVENSKO GORIŠKO;SVETI JURIJ - JUROVSKI DOL;282;0;0;0;
SLOVENSKO GORIŠKO;LENART v SLOVENSKIH GORICAH;283;0;0;0;
SLOVENSKO GORIŠKO;BENEDIKT;284;0;0;0;
SLOVENSKO GORIŠKO;DOBRAVA v SLOVENSKIH GORICAH;285;0;0;0;
SLOVENSKO GORIŠKO;PERNICA;286;0;0;0;
SLOVENSKO GORIŠKO;VOLIČINA;287;0;0;0;
SLOVENSKO GORIŠKO;DUPLEK;288;0;0;0;
SLOVENSKO GORIŠKO;POBREŽJE;289;0;0;0;
PTUJSKO - ORMOŠKO;JURŠINCI;290;0;0;0;
SLOVENSKO GORIŠKO;STARŠE;291;0;0;0;
SAVINJSKO - KOZJANSKO;PREBOLD;292;0;0;0;
SLOVENSKO GORIŠKO;RAČE;293;0;0;0;
TRIGLAVSKO;LOG pod MANGRTOM;294;0;0;0;
TRIGLAVSKO;BOVEC;295;0;0;0;
SAVINJSKO - KOZJANSKO;TABOR;296;0;0;0;
SLOVENSKO GORIŠKO;POLSKAVA;297;0;0;0;
SLOVENSKO GORIŠKO;LAPORJE;298;0;0;0;
TRIGLAVSKO;KOBARID;299;0;0;0;
TRIGLAVSKO;ČEZSOČA;300;0;0;0;
TRIGLAVSKO;TOLMIN;301;0;0;0;
SAVINJSKO - KOZJANSKO;REČICA pri LAŠKEM;302;0;0;0;
SAVINJSKO - KOZJANSKO;LAŠKO;303;0;0;0;
TRIGLAVSKO;DREŽNICA;304;0;0;0;
TRIGLAVSKO;SMAST;305;0;0;0;
TRIGLAVSKO;LJUBINJ;306;0;0;0;
TRIGLAVSKO;PODBRDO;307;0;0;0;
TRIGLAVSKO;VOLČE;308;0;0;0;
TRIGLAVSKO;LPN PRODI RAZOR;309;0;0;0;
TRIGLAVSKO;POREZEN;310;0;0;0;
ZAHODNO VISOKO KRAŠKO;KANAL;311;1;0;0;
TRIGLAVSKO;PLANOTA;312;0;0;0;
ZAHODNO VISOKO KRAŠKO;DOBROVO;313;1;0;0;
ZAHODNO VISOKO KRAŠKO;SABOTIN;314;1;0;0;
ZAHODNO VISOKO KRAŠKO;ANHOVO;315;1;0;0;1
TRIGLAVSKO;OTAVNIK;316;0;0;0;
ZAHODNO VISOKO KRAŠKO;MOST na SOČI;317;1;0;0;
ZAHODNO VISOKO KRAŠKO;GRGAR;318;1;0;0;1
ZAHODNO VISOKO KRAŠKO;GORICA;319;1;0;0;1
ZAHODNO VISOKO KRAŠKO;LIJAK;320;1;0;0;1
ZAHODNO VISOKO KRAŠKO;TRNOVSKI GOZD;321;1;1;1;1
ZAHODNO VISOKO KRAŠKO;ČEPOVAN;322;1;0;0;1
ZAHODNO VISOKO KRAŠKO;TREBUŠA;323;1;0;0;
ZAHODNO VISOKO KRAŠKO;ČAVEN;324;1;0;0;1
ZAHODNO VISOKO KRAŠKO;HUBELJ;325;1;0;0;
ZAHODNO VISOKO KRAŠKO;JAVORNIK;326;1;6;1;1
ZAHODNO VISOKO KRAŠKO;DOLE;327;1;5;1;1
ZAHODNO VISOKO KRAŠKO;KOZJE STENA;328;1;0;0;1
SLOVENSKO GORIŠKO;ČREŠNJEVEC;329;0;0;0;
ZAHODNO VISOKO KRAŠKO;VIPAVA;330;1;0;0;
ZAHODNO VISOKO KRAŠKO;ČRNA JAMA;331;1;0;0;
ZAHODNO VISOKO KRAŠKO;BUKOVJE;332;1;0;0;1
ZAHODNO VISOKO KRAŠKO;PLANINA;333;1;4;1;1
ZAHODNO VISOKO KRAŠKO;LOGATEC;334;1;2;1;1
ZAHODNO VISOKO KRAŠKO;COL;335;1;4;1;1
ZAHODNO VISOKO KRAŠKO;VOJKOVO;336;1;0;0;1
ZAHODNO VISOKO KRAŠKO;VRHNIKA;337;1;1;1;1
ZAHODNO VISOKO KRAŠKO;HRENOVICE;338;1;0;0;1
ZAHODNO VISOKO KRAŠKO;HOTEDRŠICA;339;1;7;1;1
ZAHODNO VISOKO KRAŠKO;ROVTE;340;1;0;0;1
ZASAVSKO;PUGLED;341;0;0;0;
ZASAVSKO;LAZE;342;0;0;0;
ZASAVSKO;KRESNICE;343;0;0;0;
ZASAVSKO;IZLAKE;344;0;0;0;
ZASAVSKO;MORAVČE;345;0;0;0;
ZASAVSKO;VAČE;346;0;0;0;
ZASAVSKO;MLINŠE;347;0;0;0;
ZASAVSKO;ČEMŠENIK;348;0;0;0;
ZASAVSKO;ŠENTLAMBERT;349;0;0;0;
PTUJSKO - ORMOŠKO;MARKOVCI;350;0;0;0;
ZASAVSKO;ZAGORJE;351;0;0;0;
ZASAVSKO;TRBOVLJE;352;0;0;0;
ZASAVSKO;VIŠNJA GORA;353;0;0;0;
ZASAVSKO;HRASTNIK;354;0;0;0;
ZASAVSKO;DOBOVEC;355;0;0;0;
ZASAVSKO;ŠMARTNO pri LITIJI;356;0;0;0;
ZASAVSKO;LITIJA;357;0;0;0;
ZASAVSKO;DOL pri HRASTNIKU;358;0;0;0;
ZASAVSKO;IVANČNA GORICA;359;0;0;0;
ZASAVSKO;ŠENTVID pri STIČNI;360;0;0;0;
ZASAVSKO;RADEČE;361;0;0;0;
KAMNIŠKO - SAVINJSKO;SOLČAVA;362;0;0;0;
KAMNIŠKO - SAVINJSKO;LUČE;363;0;0;0;
ZASAVSKO;POLŠNIK;364;0;0;0;
ZASAVSKO;GABROVKA;365;0;0;0;
ZASAVSKO;DOLE pri LITIJI;366;0;0;0;
KAMNIŠKO - SAVINJSKO;SMREKOVEC;367;0;0;0;
KAMNIŠKO - SAVINJSKO;VELUNJA ŠOŠTANJ;368;0;0;0;
KAMNIŠKO - SAVINJSKO;GORNJI GRAD;369;0;0;0;
KAMNIŠKO - SAVINJSKO;DRETA NAZARJE;370;0;0;0;
ZASAVSKO;PODKUM;371;0;0;0;
KAMNIŠKO - SAVINJSKO;VRANSKO;372;0;0;0;
KAMNIŠKO - SAVINJSKO;STAHOVICA;373;0;0;0;
KAMNIŠKO - SAVINJSKO;KAMNIK;374;0;0;0;
KAMNIŠKO - SAVINJSKO;LJUBNO;375;0;0;0;
KAMNIŠKO - SAVINJSKO;REČICA ob SAVINJI;376;0;0;0;
KAMNIŠKO - SAVINJSKO;MOZIRJE;377;0;0;0;
KAMNIŠKO - SAVINJSKO;DOMŽALE;378;0;0;0;
KAMNIŠKO - SAVINJSKO;LUKOVICA;379;0;0;0;
KAMNIŠKO - SAVINJSKO;BRASLOVČE;380;0;0;0;
KAMNIŠKO - SAVINJSKO;SELA pri KAMNIKU;381;0;0;0;
KAMNIŠKO - SAVINJSKO;TUHINJ;382;0;0;0;
KAMNIŠKO - SAVINJSKO;MOTNIK - ŠPITALIČ;383;0;0;0;
SAVINJSKO - KOZJANSKO;DRAMLJE;384;0;0;0;
PTUJSKO - ORMOŠKO;CIRKOVCE;385;0;0;0;
KAMNIŠKO - SAVINJSKO;TROJANE - OŽBOLT;386;0;0;0;
PTUJSKO - ORMOŠKO;TRNOVSKA VAS;387;0;0;0;
PTUJSKO - ORMOŠKO;VITOMARCI;388;0;0;0;
PTUJSKO - ORMOŠKO;DESTRNIK;389;0;0;0;
PTUJSKO - ORMOŠKO;TOMAŽ pri ORMOĹľU;390;0;0;0;
PTUJSKO - ORMOŠKO;IVANJKOVCI;391;0;0;0;
PTUJSKO - ORMOŠKO;KOG - VINSKI VRHOVI;392;0;0;0;
PTUJSKO - ORMOŠKO;SREDIŠČE;393;0;0;0;
PTUJSKO - ORMOŠKO;ORMOŽ;394;0;0;0;
PTUJSKO - ORMOŠKO;VELIKA NEDELJA;395;0;0;0;
PTUJSKO - ORMOŠKO;BRESNICA - PODGORCI;396;0;0;0;
PTUJSKO - ORMOŠKO;DRAVINJA - MAJŠPERK;397;0;0;0;
PTUJSKO - ORMOŠKO;DORNAVA - POLENŠAK;398;0;0;0;
PTUJSKO - ORMOŠKO;SVETA MARJETA niĹľje PTUJA;399;0;0;0;
SLOVENSKO GORIŠKO;CIGONCA;400;0;0;0;
PTUJSKO - ORMOŠKO;ZAVRČ;401;0;0;0;
PTUJSKO - ORMOŠKO;ROGATEC;402;0;0;0;
PTUJSKO - ORMOŠKO;ROGAŠKA SLATINA;403;0;0;0;
ZAHODNO VISOKO KRAŠKO;NANOS;404;1;2;1;1
PTUJSKO - ORMOŠKO;CIRKULANE;405;0;0;0;
PTUJSKO - ORMOŠKO;JOŽE LACKO - PTUJ;406;0;0;0;
TRIGLAVSKO;LPN TRIGLAV;407;0;0;0;
TRIGLAVSKO;SOČA;408;0;0;0;
PTUJSKO - ORMOŠKO;BORIS KIDRIČ;409;0;0;0;
PTUJSKO - ORMOŠKO;PTUJ;410;0;0;0;
PTUJSKO - ORMOŠKO;LESKOVEC v HALOZAH;411;0;0;0;
PTUJSKO - ORMOŠKO;PODLEHNIK;412;0;0;0;
PTUJSKO - ORMOŠKO;MAKOLE;413;0;0;0;
PTUJSKO - ORMOŠKO;STOPERCE;414;0;0;0;
PTUJSKO - ORMOŠKO;ŽETALE;415;0;0;0;
PTUJSKO - ORMOŠKO;POLJČANE;416;0;0;0;
PTUJSKO - ORMOŠKO;BOČ;417;0;0;0;
NOVOMEŠKO;DOBRNIČ;418;1;0;0;1
KOČEVSKO - BELOKRANJSKO;TABORSKA JAMA;419;1;0;0;
POHORSKO;POGOREVC;420;0;0;0;
ZAHODNO VISOKO KRAŠKO;KREKOVŠE;421;1;4;1;1
ZAHODNO VISOKO KRAŠKO;IDRIJA;422;1;3;1;1
ZAHODNO VISOKO KRAŠKO;JELENK;423;1;2;1;1
Primorsko-goranska;LIBURNIJA;424;0;0;0;
Karlovačka;MALA JAVORNICA;425;0;0;0;
Karlovačka;DEBELI VRH;426;0;0;0;
Karlovačka;CRNI VRH;427;0;0;0;
Karlovačka;VELIKA KAPE A;428;0;0;0;
Karlovačka;SKRADSKA GORA;429;0;0;0;
Karlovačka;POKUPSKI BAZEN;430;0;0;0;
Karlovačka;PERJASIČKA KOSA;431;0;0;0;
Karlovačka;ŠUMBAR;432;0;0;0;
Karlovačka;MALA KAPELA I;433;0;0;0;
Karlovačka;KRPEL;434;0;0;0;
Karlovačka;KLEK;435;0;0;0;
Primorsko-goranska;RIČIĆKO BILO;436;0;0;0;
Karlovačka;CRNA DRAGA;437;0;0;0;
Karlovačka;KRIVI JAVOR I;438;0;0;0;
Primorsko-goranska;DOBRA;439;0;0;0;
Primorsko-goranska;ZEČA;440;0;0;0;
